město;nazev;datum
Boskovice;Město Boskovice - Odbor finanční - Oznámení;2024-01-17
Boskovice;Svazek obcí pro výstavbu rychlostní komunikace R43;2023-12-22
Boskovice;Oznámení o zveřejnění dokumentů rozpočtového hospodaření;2023-12-22
Boskovice;\Svazek vodovodů a kanalizací\ měst a obcí - Oznámení o zveřejnění závěrečného účtu;2023-07-20
Boskovice;Město Boskovice - Záměr pronájmu budovy - dříve prodejna COOP ve Vratíkově;2023-06-14
Boskovice;Informační povinnost správce daně - Městského úřadu Boskovice;2021-07-29
Boskovice;Informace Městského úřadu Boskovice o provozu podatelny a o podmínkách přijímání dokumentů;2019-06-21
Boskovice;Město Boskovice - Odbor tvorby a ochrany životního prostředí - Veřejná vyhláška - Opatření obecné povahy;2019-04-17
Brno;Veřejná vyhláška o záměru  stanovení  SSZ 6.19 Provazníkova-třída Generála Píky;2024-05-24
Brno;VŘ č. 104/2024 BO právní asistent 05;2024-05-24
Brno;VŘ 100/2024 OSP soc. prac. - kontrolor 05;2024-05-24
Brno;V.V. PDZ akce Molákova 13-17 - oprava kanalizace;2024-05-24
Brno;Veřejná vyhláška stanovení PDZ - Vychodilova 10;2024-05-24
Brno;stanovení OOP - ul. Majdalenky;2024-05-24
Brno;stanovení OOP - ul. Souhrady;2024-05-24
Brno;Veřejná vyhláška  o záměru stanovení  SSZ 7.61 Bayerova - Kotlářská;2024-05-24
Brno;Záměr směny části pozemku p.č. 2275/4 v k.ú. Slatina;2024-05-24
Brno;Seznam nalezených věcí  ke zveřejnění od 20.05.2024 - 24.05.2024;2024-05-24
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Novoměstská (REKO ŽST. Kr. Pole - příjezd ke staveništi);2024-05-24
Brno;Návrh opatření obecné povahy, návrh stanovení místní úpravy provozu na MKIII.tř.,ul.Kollárova+1,Brno;2024-05-24
Brno;VŘ 090/2024 OÚPR - koordinátor stanovisek - prodlužen termín pro podání přihlášek;2024-05-24
Brno;VŘ 092/2024 OÚPR - právník - prodlužen termín pro podání přihlášek;2024-05-24
Brno;Inzerát 091/2024 ORF - platová účetní - prodlužení;2024-05-24
Brno;V.V. PDZ Dornych - polyfunkční dům Dornia - přípojky vodovodu a plynu;2024-05-24
Brno;zveřejnění volných bytů MČ Brno- sever;2024-05-23
Brno;Veřejná vyhláška - stanovení přechodného DZ - Cihlářská 13;2024-05-23
Brno;Veřejná vyhláška - stanovení přechodného DZ - Mozartova;2024-05-23
Brno;188 EX 109/23-565-UsnNemOd;2024-05-23
Brno;Veřejná vyhláška o záměru  stanovení DZ  pro VPS/ZTP na ul. Schwaigrova před č.o.  6;2024-05-23
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Porhajmova 18 (stavební úpravy domu);2024-05-23
Brno;Veřejná vyhláška stanovení PDZ - Vackova 5;2024-05-23
Brno;R9/084 - záměry prodeje, pronájmu aj. nemovitého majetku;2024-05-23
Brno;Veřejná vyhláška - stanovení přechodného DZ - Seifertova, Merhautova (železniční most) - etapa 7;2024-05-23
Brno;Opatření obecné úpravy, stanovení přechodné úpravy provozu na MK III. třídy ul. Kollárova +1, Brno;2024-05-23
Brno;Veřejná vyhláška - stanovení PDZ - VMO Tom., Rok. (sit. 6(2), 6(2 OT), 6(3), 6(3 OT) + I, II, III);2024-05-22
Brno;Opatření obecné povahy, stanovení místní úpravy provozu na MK III.tř. a stavbě ÚK,ul.Bohunická, Brno;2024-05-22
Brno;Veřejná vyhláška stanovení PDZ - Bořetická;2024-05-22
Brno;VŘ 103/2024 OVLHZ - vedoucí Oddělení státní správy vodního hospodářství;2024-05-22
Brno;Veřejná vyhláška - stanovení přechodného DZ - Líšeňská;2024-05-22
Brno;ŽP/19311/24/HPS;2024-05-22
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Dukelská 59b (zateplení BD);2024-05-22
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Sušilova 2 (opr. domu-sanační práce);2024-05-22
Brno;169EX 1500/23-68 poučení;2024-05-21
Brno;Brno, Slovákova - oprava kanalizace D.1 Komunikační úpravy: Rozhodnutí o prodl. platnosti stav.pov.;2024-05-21
Brno;návrh OOP - ul. Jedovnická;2024-05-21
Brno;návrh OOP - ul. Bráfova;2024-05-21
Brno;návrh OOP - ul. NN2687, NN2692;2024-05-21
Brno;Veřejná vyhláška - stanovení přechodného DZ - Vídeňská (u MŠ);2024-05-21
Brno;Veřejná vyhláška o záměru stanovení DZ, ulice Tuřanka v křižovatce s ulicí Tuřanka - Zákos;2024-05-21
Brno;Veřejná vyhláška - stanovení přechodného DZ - Leitnerova;2024-05-21
Brno;1418/PR/24 - OOP, zastavení plavby na nádrži Brněnská;2024-05-21
Brno;VŘ 084/2024 ŽÚ právník odboru 05 prodl.;2024-05-21
Brno;inzerát 086/2024 ŽÚ referent státní správy 05 prodl.;2024-05-21
Brno;VŘ 085/2024 ŽÚ referent státní správy 05 prodl.;2024-05-21
Brno;VŘ 087/2024 ŽÚ kontrolor 05 prodl.;2024-05-21
Brno;Inzerát 088/2024 ŽÚ kontrolor 05 prodl.;2024-05-21
Brno;VŘ 089/2024 OSP odborný referent projektů 05 prodl;2024-05-21
Brno;Veřejná vyhláška stanovení PDZ - Žebětínská 24;2024-05-20
Brno;Veřejná vyhláška stanovení PDZ - Teyschlova;2024-05-20
Brno;V.V. PDZ Kociánka 3081/3e - splašková kanalizační přípojka;2024-05-20
Brno;Veřejná vyhláška stanovení PDZ - Jungmannova 2;2024-05-20
Brno;Veřejná vyhláška o záměru stanovení DZ, VDZ,  ulice  Obřanská, Selská,;2024-05-20
Brno;VŘ 102/2024 OÚPSŘ - vedoucí referátu, urbanista;2024-05-20
Brno;VŘ 101/2024 OÚPSŘ - urbanista - občanská vybavenost;2024-05-20
Brno;Rozhodnutí - VV;2024-05-20
Brno;VŘ č. 098/2024 - MO, referent realitních aktivit;2024-05-20
Brno;VŘ č. 099/2024 - MO, odborný referent;2024-05-20
Brno;Stanovení VPS na ul.  Štolcova 12-14;2024-05-20
Brno;V.V. PDZ Martina Ševčíka - zkušební statické vrty;2024-05-20
Brno;V.V. PDZ - Branka 80 - kanalizační přípojka;2024-05-20
Brno;zveřejnění volných bytů MČ Brno - Královo Pole;2024-05-20
Brno;Veřejná vyhláška - stanovení přechodného DZ - Kamenná, Vídeňská;2024-05-20
Brno;stanovení OOP, ul. Preslova 75;2024-05-20
Brno;Veřejná vyhláška - stanovení přechodného DZ - Vlkova (Strnadova 11);2024-05-20
Brno;stanovení OOP, ul. Lipová 6 a 8;2024-05-20
Brno;VV  ŽP/18177/24/HPS/22/ZLH;2024-05-20
Brno;VV  ŽP/19310/24/HPS/23/ZLH;2024-05-20
Brno;VV  ŽP/19309/24/HPS/23/ZLH;2024-05-20
Brno;VV  ŽP/19308/24/HPS/23/ZLH;2024-05-20
Brno;R9/083. - záměry prodeje, pronájmu aj. nemovitého majetku;2024-05-17
Brno;V.V. PDZ - Mendlovo nám. - Pouť smíření 2024 - zábor parkovacích míst;2024-05-17
Brno;V.V. PDZ Zapletalova akce „SEK VDF Brno – Dvorska“ - pokládka kabelu Vodafone;2024-05-17
Brno;V.V PDZ - Příjezdová - pokládka kabelového vedení;2024-05-17
Brno;Stanovení VPS na ul. Spáčilova 38;2024-05-17
Brno;Rozšíření mísicího centra Dufonev -zveřejnění oznámení EIA, zahájení zjišťovacího řízení;2024-05-17
Brno;VV - 22-18176-HPS24;2024-05-17
Brno;VV - 22-18175-HPS24;2024-05-17
Brno;VV - 23 - 19301-HPS-24;2024-05-17
Brno;VV - 23-19300-HPS24;2024-05-17
Brno;VV - 23-19299 - HPS24;2024-05-17
Brno;Přestavba žel. uzlu Brno — Prodloužení ul. Kalová: Ozn. o zahájení řízení o prodloužení s.p.;2024-05-17
Brno;Stanovení VPS na ul. Spáčilova 32;2024-05-17
Brno;Stanovení VPS na ul. Spáčilova 36;2024-05-17
Brno;Stanovení VPS na ul. Spáčilova 34;2024-05-17
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Puškinova (odstavení kontejneru);2024-05-17
Brno;Stanovení VPS na ul. Spáčilova 30;2024-05-17
Brno;ŽP/19304/24/HPS;2024-05-17
Brno;ŽP/19303/24/HPS;2024-05-17
Brno;ŽP/19302/24/HPS;2024-05-17
Brno;Veřejná vyhláška - stanovení přechodného DZ - Ondrova, U Zoologické zahrady, Palcary;2024-05-17
Brno;ŽP/19306/24/HPS;2024-05-17
Brno;ŽP/19305/24/HPS;2024-05-17
Brno;Veřejná vyhláška - stanovení přechodného DZ - Triexpert CUP 2024 (Palackého vrch);2024-05-17
Brno;Stanovení VPS na ul.  Hodonínská 11;2024-05-17
Brno;Veřejná vyhláška stanovení PDZ - Vinařického 21;2024-05-17
Brno;VEŘEJNÁ VYHLÁŠKA STANOVENÍ PDZ - Uzbecká 7;2024-05-17
Brno;ROZSYPÁLEK JAN - OZNÁMENÍ O DOSAŽENÍ 12 BODŮ;2024-05-17
Brno;Seznam nalezených věcí ke zveřejnění v týdnu od 13.5.2024 do 17.5.2024;2024-05-17
Brno;VV_HPS_ŽP_19307_24;2024-05-17
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Přístavní-Obvodová [ETAPA 4](uzavírka ul. Přístavní SSZ 8.49);2024-05-17
Brno;B50_07_II- vystavení OOP - veřejná vyhláška;2024-05-16
Brno;vyhláška OOP č. 1/2024 Změna ÚPmB B1/22 Sadová;2024-05-16
Brno;B343_POR_1_22 - vyhláška vystavení OOP;2024-05-16
Brno;189EX 3554/23-50 Usnesení o odročení dražby;2024-05-16
Brno;217EX 00240/22-252 EDV MOV;2024-05-16
Brno;HPS 2022 NEM.;2024-05-16
Brno;Adresný záměr výpůjčky budovy ve výstavbě na pozemku p. č. 27/1 v k. ú. Sadová;2024-05-16
Brno;Adresný záměr pronájmu nebytových prostor v budově Zámečnická 90/2, k. ú. Město Brno;2024-05-16
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Křenová (opr. povrchů TRAM trati);2024-05-16
Brno;V.V. PDZ - Lipová 4 - rekonstrukce domu;2024-05-16
Brno;Veřejná vyhláška - stanovení přechodného DZ - Soběšická;2024-05-16
Brno;Adresný záměr Benešova 8 - Česká pošta;2024-05-16
Brno;Veřejná vyhláška - stanovení přechodného DZ - Havárie podchodu OC Letmo;2024-05-16
Brno;žádost o zveřejnění návrhu OOP pajasan žláznatý;2024-05-16
Brno;VŘ 094/2024 OD - projektový manažer;2024-05-16
Brno;VŘ 097/2024 OÚPSŘ - právník;2024-05-16
Brno;Dotační program Pro Kreativní Brno - 6. etapa;2024-05-15
Brno;zveřejnění volných bytů MČ Brno - Žabovřesky;2024-05-15
Brno;HPS ŽP_19298_24_HPS;2024-05-15
Brno;STANOVENÍ - doplnění OPSV 12a zajištění vjezdu k Zemědělská 64;2024-05-15
Brno;STANOVENÍ - parkování před domy Desátková 7 a 11, Brno-Kohoutovice;2024-05-15
Brno;Stanovení VPS na ul. Filipova 9;2024-05-15
Brno;Veřejná vyhláška - stanovení přechodného DZ - Kraví hora (Den s IZS);2024-05-15
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Křenová (par. č. 150/1, SR, BD);2024-05-15
Brno;Stanovení VPS na ul. Wollmanova 12;2024-05-15
Brno;návrh OOP, ul. Zahradníkova OPS;2024-05-15
Brno;návrh OOP, ul. K lávce;2024-05-15
Brno;Aukční vyhláška - Špitálka 18;2024-05-15
Brno;219EX 05288/22-494 EDV;2024-05-15
Brno;Veřejná vyhláška o záměru stanovení místní úpravy SSZ 4.45  Ostravská - Olomoucká;2024-05-15
Brno;Aukční vyhláška - Gallašova 8;2024-05-15
Brno;Aukční vyhláška - Gallašova 4;2024-05-15
Brno;České dědictví UNESCO - Oznámení o konání VH_Návrh rozpočtu_Střednědobý_rozpočtový_výhled_2025-2027;2024-05-15
Brno;Soběšická, p.p.č. 1273, 1274/1 a 1274/2 k.ú. Lesná -novost. BD - odvolání proti společ. povolení;2024-05-15
Brno;ÚD_Povinně zveřejňované údaje;2024-05-15
Brno;inzerát 096/2024 OSP metodický garant interkulturní práce 05;2024-05-15
Brno;VV na poslední známou adresu ŽP/326381/24 a ŽP/335023/24,Schoberová Andrea;2024-05-15
Brno;VV na poslední známou adresu ŽP/326377/24, Schoberová Andrea;2024-05-15
Brno;VV na poslední známou adresu ŽP/326382/24, Wieners Gabriela;2024-05-15
Brno;VV na poslední známou adresu ŽP/326378/24,ŽP/326379/24, Tricot Sylvie;2024-05-15
Brno;VV na poslední známou adresu ŽP/326383/24, Zedanová Denisa;2024-05-15
Brno;VV na poslední známou adresu ŽP/326380/24, Veverková Gabriela;2024-05-15
Brno;B170_p353_22 - vyhláška VP;2024-05-15
Brno;Veřejná vyhláška - stanovení přechodného DZ - Orlí 30;2024-05-15
Brno;Stanovení místní úpravy provozu (OOP) na PK - MK III, ul. Josefy Faimonové, Brno;2024-05-15
Brno;OOP;2024-05-15
Brno;Veřejná vyhláška o záměru stanovení místní úpravy na SSZ 4.28 Olomoucká - Těžební;2024-05-15
Brno;Oznámení o zahájení řízení - VV;2024-05-15
Brno;VŘ č. 083/2024 ORGO referent INA a struktur;2024-05-14
Brno;Stanovení OOP - Minská 56, E. Lejska;2024-05-14
Brno;Inzerát 073/2024 kuchař Oddělení - Jídelna MMB, Odbor vnitřních věcí - prodloužen termín pro podání;2024-05-14
Brno;"Veřejná vyhláška, OOP, stanovení PDZ - Šámalova (""úprava TT Zábrdovická""-0.ETAPA)";2024-05-14
Brno;Stanovení VPS na ul. Skorkovského 115;2024-05-14
Brno;Stanovení VPS na ul. Skorkovského 107;2024-05-14
Brno;Stanovení VPS na ul. Vinařického;2024-05-14
Brno;Stanovení VPS na ul. Štolcova 31;2024-05-14
Brno;Stanovení VPS na ul. Skorkovského 117;2024-05-14
Brno;Stanovení VPS na ul. Skorkovského 136;2024-05-14
Brno;Veřejná vyhláška - stanovení přechodného DZ - Triexpert CUP 2024 (Pisárky);2024-05-14
Brno;Ozn. o zah. ř.;2024-05-14
Brno;Stanovení TDZ na ul. Moldavská 1- obecný invalida;2024-05-14
Brno;Žádost o zveřejnění listin na úřední desce - EAS na prodej pozemku parc. č. 2754 v k. ú. Chrlice;2024-05-14
Brno;Veřejná vyhláška stanovení PDZ - Štefánikova 31;2024-05-14
Brno;V.V. PDZ - Meluzínova a Viniční - průjezd nadměrného nákladu;2024-05-14
Brno;Veřejná vyhláška stanovení PDZ - Zahradnická 5;2024-05-14
Brno;Veřejná vyhláška stanovení PDZ - Jakubské nám. 4;2024-05-14
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Pálavské nám. (DODATEK-souvislá oprava PK);2024-05-14
Brno;Veřejná vyhláška o záměru stanovení DZ na ulici Tovačovského, trvalé dopravní značen             TDZ;2024-05-14
Brno;Návrh opatření obecné povahy, návrh stanovení místní úpravy provozu na SIII15272,ul.A.Procházky,Brno;2024-05-14
Brno;"V.V. PDZ - Jakuba Obrovského - akce ""Dobrý den v Bystrci""";2024-05-14
Brno;rozhodnutí - zařazení komunikace: Obytný soubor Kamechy - II. a II. etapa, SO 01 - Parkoviště;2024-05-14
Brno;Oznámení o přerušení dodávky elektrické energie;2024-05-13
Brno;Oznámení o přerušení dodávky elektrické energie;2024-05-13
Brno;OZNÁMENÍ O MOŽNOSTI PŘEVZÍT PÍSEMNOST;2024-05-13
Brno;Stanovení   TDZ na ul. Ukrajinská;2024-05-13
Brno;V.V. PDZ Minská 18 - zábor pro zařízení stavby při rekonstrukci domu;2024-05-13
Brno;Stanovení přechodné úpravy  DZ pro  VPS na ulici Ukrajinská 2d, Brno - Bohunice;2024-05-13
Brno;stanovení OOP, ul. Cihelní;2024-05-13
Brno;Stanovení místní úpravy provozu (OOP) na PK - MK III, ul. Krondlova, Brno;2024-05-13
Brno;Stanovení místní úpravy provozu na ul. Modřická, NN 1709, Brno - SIII/15278, VPÚPK;2024-05-13
Brno;V.V. PDZ - Cejl 111 - Montáž základové stanice na bytový dům;2024-05-13
Brno;Veřejná vyhláška - stanovení přechodného DZ - Míčkova;2024-05-13
Brno;VV - ŽP/19290/24/HPS;2024-05-13
Brno;VV - ŽP/19289/24/HPS;2024-05-13
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Běloruská (úprava dětských hřišť - MŠ);2024-05-13
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Bratislavská, Přadlácká (kabelové komory);2024-05-13
Brno;V.V. PDZ Václavská 18 - výměna výkladců;2024-05-13
Brno;Veřejná vyhláška - stanovení přechodného DZ - VMO Tom.Rok. - Rokytova sit 5 (Ib.);2024-05-13
Brno;V.V. PDZ - Vídeňská - nový termín - souv. údržba chodníku;2024-05-13
Brno;Veřejná vyhláška stanovení PDZ - Štefánikova 29, vestavba podkrovních bytů;2024-05-13
Brno;Veřejná vyhláška stanovení PDZ - Šámalova 86;2024-05-13
Brno;Veřejná vyhláška stanovení PDZ - Čejkovická 13;2024-05-13
Brno;Rozhodnutí - Prodloužení platnosti SP a lhůty k dok. stavby;2024-05-13
Brno;Černovice - usnesení o přerušení - VV;2024-05-13
Brno;Židenice - usnesení o přerušení - VV;2024-05-13
Brno;Židenice - usnesení o zastavení - VV;2024-05-13
Brno;ŽP/19297/24/HPS;2024-05-13
Brno;ŽP/19296/24/HPS;2024-05-13
Brno;ŽP/19295/24/HPS;2024-05-13
Brno;ŽP/19294/24/HPS;2024-05-13
Brno;ŽP/19293/24/HPS;2024-05-13
Brno;ŽP/19292/24/HPS;2024-05-13
Brno;ŽP/19291/24/HPS;2024-05-13
Brno;ŽP/18173/24/HPS;2024-05-13
Brno;ŽP/18172/24/HPS;2024-05-13
Brno;ŽP/18171/24/HPS;2024-05-13
Brno;Stanovení přechodné úpravy DZ pro VPS/ZTP  na ul. Mozolky 55;2024-05-13
Brno;Veřejná vyhláška - stanovení přechodného DZ - Jabloňová;2024-05-13
Brno;V.V. PDZ oprava vodovodu Nový Lískovec etapa V;2024-05-10
Brno;206EX 2833/22-118 usnesení všeobecné;2024-05-10
Brno;Veřejná vyhláška, OOP, stanovení PDZ - Hanácká III/15283 (1. úsek: opr. PK);2024-05-10
Brno;Seznam nalezených věcí  ke zveřejnění od 06.05.2024 - 10.05.2024;2024-05-10
Brno;Veřejná vyhláška - stanovení přechodného DZ - Lerchova;2024-05-10
Brno;Návrh opatření obecné povahy, návrh stanov. místní úpravy provozu na MKIII.tř.,ul.Vyhlídalova+1,Brno;2024-05-10
Brno;Návrh opatření obecné povahy, návrh stanovení místní úpravy provozu na MKIII.tř.,ul.Krausova+2, Brno;2024-05-10
Brno;Veřejná vyhláška, návrh OOP, návrh místní úpravy provozu na PK - VPÚK, ul. Dubová, Brno;2024-05-10
Brno;Veřejná vyhláška stanovení PDZ - Pekařská 6;2024-05-10
Brno;Veřejná vyhláška stanovení PDZ - Jemelkova;2024-05-10
Brno;ŽP/19288/24/HPS;2024-05-10
Brno;ŽP/18170/24/HPS;2024-05-10
Brno;ŽP/18169/24/HPS;2024-05-10
Brno;ŽP/18168/24/HPS;2024-05-10
Brno;ŽP/19287/24/HPS;2024-05-10
Brno;V.V. PDZ Mácova - souvislá oprava komunikace - DODATEK;2024-05-10
Brno;Oznámení o zahájení správního řízení;2024-05-10
Brno;Stanovisko SEA k Návrhu změny ÚPmB - B176_p111_22;2024-05-09
Brno;ZVEŘEJNĚNÍ ZÁMĚRŮ -Záměr umožnění přesahu stavby do prostoru;2024-05-09
Brno;ŽP/19284/24/HPS;2024-05-09
Brno;ŽP/19283/24/HPS;2024-05-09
Brno;Veřejná vyhláška - stanovení přechodného DZ - Minská, Horova, Kovařovicova;2024-05-09
Brno;V.V. PDZ Žižkova - bytový dům - zábory pro přípojky;2024-05-09
Brno;VŘ 092/2024 OÚPR - právník;2024-05-09
Brno;ŽP/19286/24/HPS;2024-05-09
Brno;ŽP/19285/24/HPS;2024-05-09
Brno;VŘ 090/2024 OÚPR - koordinátor stanovisek - 2FM;2024-05-09
Brno;Inzerát 091/2024 ORF - platová účetní;2024-05-09
Brno;Inzerát 093/2024 OSRS - koordinátor/ka a administrátor/ka ITI;2024-05-09
Brno;návrh OOP - ul. Královopolská;2024-05-09
Brno;ŽP/19282/24/HPS;2024-05-07
Brno;ŽP/19281/24/HPS;2024-05-07
Brno;ŽP/18167/24/HPS;2024-05-07
Brno;ŽP/18166/24/HPS;2024-05-07
Brno;zveřejnění volných bytů MČ Brno - Bystrc;2024-05-07
Brno;návrh na OOP - VDZ a SDZ - Petra Křivky;2024-05-07
Brno;HPS ŽP/18165/24/HPS;2024-05-06
Brno;HPS ŽP/19280/24/HPS;2024-05-06
Brno;HPS ŽP/18164/24/HPS;2024-05-06
Brno;Dražební vyhláška - pozemky Kuřim ul. Zámecká;2024-05-06
Brno;návrh OOP, OPS Slevačská OPS 5-01;2024-05-06
Brno;EX 224/18-157 EXESD;2024-05-06
Brno;HPS 2023 NEM.;2024-05-03
Brno;HPS 2023 NEM.;2024-05-03
